Plant Name,Light Preferences,Watering,Soil Type/Drainage,Temp / Humidity ,Height Growth,Common Problems,Propagation ,Toxicity,,Rule of Thumbs 
Parlor Palm,"Prefer bright, filtered sunlight. Can tolerate low light.",Water when the top 1 inch of soil feels dry,"Outdoors, sand, loam, and clay","Prefers 65-80°F, Average humidity",2-6 feet tall,"Vulnerable to aphids, mealhy bugs, scale, and whitefly. Sensitive to overwatering. Yellow fronds can indicate the plant needs more water. ","Can be separated by stem, not recommended",Non-Toxic,,"1. Plants prefer medium to bright light over low light, even if theyre tolerant of low light."
Chinese Evergreen (Aglaonema),"Low to bright light, depending on variety. Variegated ones need more light, and the darker green varieties can grow in near shade.","Water thoroughly. Likes soil to be moist, but can dry out between waterings. ",Well draining potting soil,"Don't like cold drafts or temps below 65 degrees. Keep away from drafty windows or vents. Will do best in warm, humid environment.",10-48 inches,Can form brown tips from overwatering.,Can be divided.,Toxic ,,2. Plants should be fertilized in the spring. 
Maranta (Prayer Plant),Needs indirect sunlight. Direct sunlight will scorch the leaves. Tolerant of lower light areas.,Never allow potting soil to dry out. Use warm water when watering.,Well draining potting soil.,Prefers 60-80°F. Prefer a humid environment. ,"12 inches tall, leaves are 6 inches long",Not enough humidity. Low temps can damage the leaves. Susceptible to drought. Try not to let water sit on leaves to avoid fungal problems.,"Can be divided, or making a stem cutting below a leaf node.",Non-Toxic,, 3. Plants should generally be watered when the first inch or two is dry. Plants should be watered in the morning. Well draining soil is key to success with many plants. 
"Calathea (C. Ornata, C. Zebrina, C. Crocata, C. Makoyana, C. Orbifolia, C. Lancifolia, etc)",Don't do well in direct sunlight but need to be in a well lit room. Prefers light shade and dappled light indoors.,Prefers soil that is slightly moist. Should be watered if top 1-2 inches is dry. ,"Light, porous potting mix that retains water but drains well.",Likes tropical humidity and temperatures above 60 degrees.,Depends on variety,Highly sensitive to cold drafts and sudden temp fluctuations. Vulnerable to bacterial and fungal diseases.Frequently attacked by mites and scale.,Can be propagated by division. ,Non-Toxic,,"4. Most plants cannot tolerate temperatures below 60 degrees. Most plants don't like drafts from AC, heating, etc. "
Chlorophytum comosum (Spider Plant),"Prefer bright light, but will grow in conditions ranging from semi-shady to partial direct sun.","Water thoroughly, and allow soil to dry out between waterings.","Prefers fast draining, well-aerated potting mix.",Don't let temps  fall below 50 degrees. Don't expose them to cold drafts.,2-3 feet tall,"Can develop brown tips, which is from fluoride in the water. Can get infested with aphids, mealybugs, whiteflies, and spider mites. ",Develops young plantlets which can be potted. ,"Non-Toxic, but can be a mild hallucinogenic to cats.",,"5. If you're having problems with the leaves, visit https://rb.gy/akk9mz to pinpoint the issue."
Stromanthe TrioStar," Bright, dappled light.",Needs a consistent amount of watering. Keep soil moist but not waterlogged. Distilled water is prefered. ,"Breathable, light and well draining soil. However, it does need to retain moisture.",Prefers a humid and warm environment. Does best in temps between 65-80.,2-3 feet,It needs a lot of nurturing to keep it thriving. Too much direct sun can burn the leaves.,Can be propagated by division. ,Non-Toxic,,.
Dracaena trifasciata (Snake Plant) ,"Part shade, low light conditions.",Let the soil dry between waterings. Err on the side of underwatering. ,"Prefers a loose, well-draining potting mix.",Temp between 70 and 90 degrees is best. Will suffer if exposed to temperatures below 50.,6 inches to 12 feet tall.,Sensitive to over watering. ,Can be divided easily. New shoots that emerge can be taken and potted independently. Cuttings can also be made.,Toxic,,
Dracaena Fragran,Filtered indoor light or a semi-shade spot. Never place in direct sun.,Allow top soil to dry out before watering. ,Well draining potting soil.,Prefer temperatures between 65-78 degrees.,8 to 15 feet high,"Generally insect and disease free. But can be attacked by mealybugs, spider mites, and scale. Sensitive to over-watering.",Can be propagated by stem cuttings and top cuttings.,Toxic,,
Zamioculcas zamiifolia (ZZ Plant),Can tolerate any light. Bright to low indirect light.,Have thick rhizomes which makes them extemely drought tolerant. Should be watered when the soil completely dries out- usually once every week or two. They can survive months without water.,Well draining potting soil.,Average household temperatures and humidity. Don't tolerate cold temperatures.,3-4 feet tall.,Leaves can look dull if dust accumulates. Can become leggy if doesn't receive enough sun.  Direct sunlight can scorch the leaves.,Can be propagated through division and leaf cuttings. ,Toxic,,
Peperomia ,"Does well in light to moderate light, such as a North or East facing window. Can easily grow under fluorescent lights.","Water once or twice a week, or when soil is completely dried out.  ","A loose, well draining potting soil.","Do well in temps between 65-75 degrees. Dislikes dry air, so it needs high humidity. ",Depends on variety,Super sensitive to over watering. ,Can be propagated through leaf cuttings.,Non-Toxic,,
Fiddle Leaf Fig,"Bright filtered light. If kept in low light, will fail to grow rapidly.","Keep steadily moist, but don't allow it to sit in water.",Fast-draining potting soil.,Does well in temps between 60-80 degrees. Position away from air conditioning and heating vents. Likes humid conditions. ,Can grow up to 6 feet.,"Susceptible to leaf-spotting and fungal diseases, which are typically caused by lack of air flow and too much moisture sitting on the leaves. ",Can be propagated from stem tip cuttings.,Toxic,,
Monstera Deliciosa ,Bright indirect filtered light,Water moderately and evenly. Wait until the soil is fairly dry before watering.,Fast-draining potting soil. Peat based soil is prefered.,Doesn't like to be cold. Normal indoor temps are ideal. 65-85 degrees. Keep in a humid environment., Up to 60 feet.,"Sudden drops in temp can do a lot of harm. Direct sunlight can burn the leaves.Generally pest-free. Can get root bound quickly so if leaves start to curl or is wilting, being rootbound could be the issue.            ",Can be propagated by stem cuttings. ,Mildy Toxic,,
Fittonia (Nerve Plant) ,Filtered indirect sun.,Keep the plant moderately moist. ,Soil that can retain moisture but also needs to drain well.,Thrives in temps around 70 degrees. Prefer humid coniditions similar to that found in rainforests. ,3 to 6 inches in height,Prone to collapse if it's allowed to dry out. Leaves will become limp and yellow if overwatered.,Can be propagated from leaf-tip cuttings. ,Non-Toxic,,
Pothos ,Prefers bright indirect but can tolerate low levels of light. Variegated ones need more sun or they'll lose their leaf pattern.,Likes to completely dry out between waterings. Don't wait until leaves start to shrivel or you'll lose some leaves.,Well-draining potting soil.,Should be kept above 50 degrees. Plant likes humidity but it's tolerant and can thrive in low humidity.,6-10 feet.,"Black spots on leaves indicates it's being overwatered. Dry, brown edges mean the plant has been kept try too long. ",Can be propagated by stem cuttings. ,Toxic,,
Rhoeo Tricolor (Moses in the cradle),Bright filtered light. ,Likes to be kept moist. ,Peat based potting mix.,Likes humidity. Temp of house shouldn't go below 55.,12-15 inches,"Prone to mealybugs, spider mites and whiteflies. Prone to root rot. ",Stem cuttings or division.,Toxic. Sap can causes severe pain in the mouth and minor skin irritations.,,
Peace Lily ,Medium indirect light.,Likes to be kept moist. Do lot let plant dry out.,"Peat-based potting mix with perlite, sand, or bark.",Thrives in higher humidity. Ideal temperature range is 65-80 degrees.  Avoid cold drafts.,Up to 3 feet tall,"Curled, pale leaves indicate that the plant is receiving too much light and scorched leaves indicate too much direct sun.",Can be propagated by division. ,Toxic ,,
Dieffenbachia,Bright to medium filtered light. Some varities require lower lights.,Likes to be kept moist. Water when the top inch is dry. ,Well draining soil.,Cool drafts can cause the plamt to yellow and curl. Keep it in a spot above 60 degrees. Likes humidity.,1-3 feet,Browning is normal. Susceptible to spider mites. Treat with neem oil. Do not use chemicals as it can make the problems worse.,Stem cuttings or division.,Toxic,,
Philodendron ,Medium light and bright indirect sunlight. Can tolerate low light but stems can become leggy.,Keep soil moist. Avoid overwatering. ,"Rich, loose potting soil that will drain well.",Doesn't like going below 55 degrees. They like humidity. ,8 feet,"If leaves are dropping, it can indicate too much water or not enough.",Stem cuttings.,Toxic,,
"Ferns (Bird's Nest fern, Button Fern, Sword Fern, Boston Fern, etc)",Most prefer medium light. Mimick forest conditions. Some are tolerant of low light.,Water regularly. Keep soil moist.,Well draining soil.,Most (not all) like a humid environment. Temperature tolerance is broad. Depends on variety.,Depends on variety,Too much sun can make the fern weak. Further research will need to be done based on variety.,"Can be propagated from spores, divison, and stolens.",Depends on variety.,,
Rubber Plant,Bright filtered light.,Water frequently. Needs to be kept moist. Vulnerable to excessive dryness.,Fast draining potting soil.,Prefers a humid and warm environment. Does best in temps between 65-80. Vulnerable to cool drafts.,6-10 feet,"Can become leggy. The leaves can first turn yellow and then brown before dropping off. If leaves look full and are drooping, light levels are probably too high. Vulnerable to pests.",Stem cutting.,Toxic. ,,
"Pilea (Chinese Money Plant, etc)",Bright inidrect light. Can thrive under fluorescent 'grow lights'.,Soil needs to be moist. Don't let it dry out between waterings. , Well-draining potting mix.,Likes high humidity. Prefers temperatures over 50 degrees.,Depends on variety,Like to grow in pots where their roots are somewhat restricted. Can become leggy. ,Cuttings.,Non-Toxic,,
Tradescantia zebrina (wandering dude),Bright indirect sun. Variegated ones need more light.,"Should be kept moist, not soggy. ",Well draining potting soil.,Will thrive in temps between 65-75 degrees. Average humidity. ,6-9 inches in height,Prone to root rot. Aphids and spider mites are comon pests. ,Stem cuttings.,Toxic.,,
Zebra Plant ,Bright filtered light.,Never allow soil to dry out; keep moist.,Rich organic potting soil.,Prefer temperatures above 60. Larger varities can't survive below 70 degrees. Needs high humidity. ,1-2 feet tall,Very picky and need the ideal growing conditions. ,Cuttings.,Non-Toxic,,
Alocasia,Bright indirect light.,Keep the plant moist. They love water. Don't keep it soggy.,"Loose, well draining potting mix.",Will suffer below 60 degrees. Thrive in humid environments. ,2-15 feet tall,"Very sensitive. Prone to crown, stem and root rot. Prone to diseases like Leaf Spot. Common pests are mealy bugs, scale, aphids, and spider mites. ",Clump or rhizome division.,Toxic,,
String Of Pearls ,Few hours of direct sunlight and a few hours of indirect sunlight.,Keep soil lightly moist. They are drought-resistant but cannot handle over watering.,Cactus/Succulent mix. Something with really good drainage.,"Thrives in warm temperatures above 70 spring through fall. In the winter, down to 50 is good. Needs low humidity. ","Trailing stems, 2-3 feet.",Doesn't have major pest or disease problems. Needs plenty of light. Susceptible to root rot. ,Stem cuttings.,Toxic,,
Ceropegia (String of Hearts),Bright indirect light. ,Water thoroughly and let dry out between waterings.,Cactus/Succulent mix. Something with really good drainage.,Temp needs to be around 80-85 degrees. Average humidity.,Vines can reach 12 feet.,Large spaces between leaves means the plant might not be getting enough sun. Prone to mealybugs. ,Stem cuttings.,Non-Toxic,,
Bird of Paradise ,High to medium light. ,Enjoy moist (not soggy) soil and should not dry out completely before waterings. Allow the top 2-3 inches to dry out.,Well draining potting soil.,65-85 degrees. Prefers humid conditions but can make do in normal room humidity. ,3-5 feet.,"Usually pest free, but if there are pests, neem oil is recommended. Brown crispy leaves mean its underwatred. Wilting leaves could also indicate under watering. Yellow leaves mean its being overwatered.",Cuttings or division. ,Toxic,,
Hoya,Medium to bright indirect light. It can tolerate lower light but likely only produces flowers in bright light. More light = vibrant foliage.,Water when the plant  becomes completely dry. Even let the leaves wrinkle up a bit. ,Well draining potting soil.,Temps between 60-85 degrees. Average humidity will do. Avoid drafts and direct air from heating and cooling vents.,Depends on variety.,It drops leaves when its being watered too much. ,Cuttings,Non-Toxic,,